Language information,,,,Stress system information,,Stress correlate information,,,,,Phonological uses of suprasegmentals,,References
,,,,,,Reported correlate,,,,,,,
Language name,Language family,Secondary family,ISO 639-3 code,Stress system type,Primary stress edge,Duration,Pitch,Intensity,Primary correlate,Vowel reduction,Duration = contrastive,Pitch = contrastive,Sources
Aleut,Eskimo–Aleut,Aleut,ale,0,1,1,0,0,1,1,1,0,"Bergsland (1997), Taff et al. (2001)"
Anejom,Austronesian,Central-Eastern,aty,1,1,0,1,1,,0,1,0,Lynch (2000)
Apuriña,Arawakan,Southern,apu,1,1,0,1,0,2,0,1,0,"Pickering (1971), da Silva Facundes (2000)"
Arabela,Zaparoan,Arabela–Andoa,arl,0,0,1,0,1,,0,1,0,Rich (1963)
Arabic (Ammani-Jordanian),Semitic,Central Semitic,ara,0,1,1,1,1,,0,2,0,"de Jong & Zawaydeh (1999), Zawaydeh & Davis (1999)"
Arabic (Syrian),Semitic,Central Semitic,ara,0,0,0,1,0,2,0,1,0,Cowell (1964)
Ashéninka Perené,Arawakan,Southern,prq,1,1,1,1,1,,0,1,0,Mihas (2010)
Awara,Trans-New Guinea,Finisterre-Huon,awx,1,1,0,1,1,,0,0,0,Quigley (2003)
Awtuw,Sepik-Ramu,Sepik,kmn,2,0,0,1,1,,0,0,0,Feldman (1986)
Baonan/Bonan,Mongolic,Shirongolic,peh,0,1,0,1,1,,0,1,1,"Li (1986), Chuluu (1994), Hugfjacobjiltu (2003)"
Bardi,Nyulyulan,Western,bcj,2,0,1,1,1,,1,1,0,"Metcalfe (1971), Bowern (2004)"
Bariai,Austronesian,Malayo-Polynesian,bch,0,1,0,1,1,,0,3,0,Gallagher & Baehr (2005)
Barok (Usen),Austronesian,Malayo-Polynesian,bjk,2,1,1,,1,,0,1,0,Du (2010)
Beja,Afro-Asiatic,Cushitic,bej,0,,0,1,1,,0,1,0,"Wedekind et al. (2008), Vanhove (2014)"
Belep,Austronesian,Malayo-Polynesian,yly,0,1,1,0,0,1,0,0,0,McCracken (2012)
Bhojpuri,Indo-European,Indo-Iranian,bho,2,1,0,1,1,,1,1,0,Shukla (1981)
Biak,Austronesian,Malayo-Polynesian,bhw,0,1,1,1,1,,0,1,0,van den Heuvel (2006)
Cassubian (North),Indo-European,Slavic,csb,0,,1,,,,0,0,0,Stone (1993)
Cayapa,Barbacoan,,cbi,0,0,1,1,1,,,2,0,Lindskoog & Brend (1962)
Cebuano,Austronesian,Malayo-Polynesian,ceb,1,1,1,0,0,1,0,0,0,Tanangkingsing (2009)
Chickasaw,Muskogean,Western Muskogean,cic,1,1,1,1,1,,1,2,1,"Gordon et al. (2000), Gordon (2004), Gordon & Munro (2007)"
Chuvash,Turkic,Oghur,chv,0,1,0,0,1,3,0,0,0,Krueger (1961)
Cree (Northern East),Algonquin,Central,crl,0,1,0,1,1,2,1,0,0,"Wolfart & Carroll (1981), Swain (2008)"
Creek,Muskogean ,Eastern Muskogean,mus,0,1,0,1,0,2,0,1,1,Martin (2011)
Czech,Indo-European,Slavic,ces,1,0,0,1,0,2,0,1,0,"Short (1993), Janda & Townsend (2000), Dub?da & Votrubec (2005)"
Danish,Indo-European,Germanic,dan,0,0,1,1,0,,1,3,1,"Fischer-Jørgensen (1984), Haberland (1994), Basbøll (2005)"
Diola-Fogny,Niger–Congo,Atlantic–Congo,dyo,0,0,1,0,0,1,0,1,0,Sapir (1965)
